Codigo,Nombre,Coleccion ,Precio,Dimensiones,area (cm^2),Categoria,Valoración personal,descripcion,Formato,Existing_html,Ready,Venta
b01,Vórtice 1,no,4.390€,70x112 cm,7840,,4,Óleo sobre lienzo.,Con bastidor.,si,,si
b02,Vórtice 2,no,4.390€,70x112 cm,7840,,4,Óleo sobre lienzo.,Con bastidor.,no,,si
b03,Vórtice 3,no,4.390€,70x112 cm,7840,,4,Óleo sobre lienzo.,Con bastidor.,no,,si
b04,Vórtice 4,no,862€,35x56 cm,1960,,1,Óleo sobre lienzo.,Con bastidor.,no,,si
b05,Vórtice 5,no,1.019€,35x56 cm,1960,,3,Óleo sobre lienzo.,Con bastidor.,no,,si
b06,Vórtice 6,no,862€,35x56 cm,1960,,1,Óleo sobre lienzo.,Con bastidor.,no,,si
b07,Vórtice 7,no,862€,35x56 cm,1960,,1,Óleo sobre lienzo.,Con bastidor.,no,,si
b08,Vórtice 8,no,862€,35x56 cm,1960,,1,Óleo sobre lienzo.,Con bastidor.,no,,si
b09,Vórtice 9,no,1.019€,35x56 cm,1960,,3,Óleo sobre lienzo.,Con bastidor.,no,,si
b10,Vórtice 10,no,1.019€,35x56 cm,1960,,3,Óleo sobre lienzo.,Con bastidor.,no,,si
b11,Vórtice 11,no,941€,35x56 cm,1960,,2,Óleo sobre lienzo.,Con bastidor.,no,,si
b12,Vórtice 12,sí,2.038€,2 de 35x56 cm,3920,,3,Óleo sobre lienzo.,,no,,si
b13,Vórtice 13,sí,518€,4 de 18x18 cm,1296,,0,Óleo sobre papel lienzo.,,no,,si
b14,Vórtice 14,sI,4.390€,4 de 35x56 cm,7840,,4,Óleo sobre lienzo.,Con bastidor.,no,,si
b15,Vórtice 15,sí,1.331€,6 de 28x18 cm,3024,,1,Óleo sobre lienzo.,Con bastidor.,no,,si
b16,Fusión hacia lo profundo,sí,9.072€,4 de 50x81 cm,16200,,4,Óleo sobre lienzo.,Con bastidor.,no,,si
